Record Number,Amount Requested,Interest Rate Percentage,Loan Length in Months,Loan Title,Loan Purpose,Monthly PAYMENT,Total Amount Funded,Debt-To-Income Ratio Percentage,FICO Range,Status
2889,1000,8.59,36,Countertop Loan,home_improvement,31.62,1000,3.59,800-804,1
2890,16000,16.45,60,Consolidate All Debt and Payoff CCs,debt_consolidation,392.93,16000,16.66,680-684,0
2891,3000,11.83,36,moving is always tough. Help a fellow man out,moving,99.41,3000,20.34,730-734,0
2892,15850,15.8,36,consolidate,debt_consolidation,555.68,15850,22.71,690-694,0
2893,17500,15.81,60,CC,credit_card,423.81,17500,9.02,715-719,0
2894,17400,17.51,60,Technical Professional Credit Card Refi,credit_card,437.23,17400,23.61,680-684,1
2895,7000,16.77,36,My loan,wedding,248.77,7000,20.31,675-679,0
2896,8000,6.91,36,Credit Card Debt,debt_consolidation,246.69,8000,12.77,720-724,1
2897,1950,9.99,36,Pay off my Credit Cards,credit_card,62.92,1950,13.1,740-744,0
2898,8000,10.25,36,al,major_purchase,259.08,8000,3.81,725-729,1
2899,5000,10.59,36,debt free at last,credit_card,162.73,5000,8.69,685-689,1
2900,30600,18.79,36,CC,credit_card,1118.43,30600,17.95,685-689,1
2901,3000,22.11,60,bill loan ,other,83.05,3000,0,690-694,0
2902,18000,16.63,36,Wedding Loan,wedding,638.46,18000,10.91,665-669,0
2903,5000,15.62,36,Small Bus,small_business,174.85,5000,18.28,665-669,0
2904,20000,11.49,36,Consolidated Debt,debt_consolidation,659.43,20000,20.95,715-719,1
2905,10000,10.74,36,Money to help struggling parents' debt,debt_consolidation,326.16,10000,16.55,715-719,1
2906,5000,13.61,36,Personal Loan,other,169.95,5000,15.48,675-679,0
2907,7000,8.49,36,ATV Loan,major_purchase,220.95,7000,19.16,735-739,1
2908,15000,13.49,60,Debt Consolidation,debt_consolidation,345.08,15000,21.6,730-734,1
2909,12875,17.99,36,CONSOLIDATE,debt_consolidation,465.4,12875,13.64,670-674,0
2910,9000,14.46,60,Pay Off Loan,other,211.57,9000,22.94,685-689,0
2911,5000,14.65,36,Personal Loan,debt_consolidation,172.48,5000,16.39,675-679,1
2912,6000,13.99,36,Home Improvement,home_improvement,205.04,6000,17.58,660-664,0
2913,5000,15.37,36,First home down payment,house,174.24,5000,0.32,700-704,1
2914,18000,13.8,60,Debt Consolidation,debt_consolidation,416.97,18000,11.89,715-719,0
2915,5500,19.05,36,Major Purchase,major_purchase,201.75,5500,24.96,660-664,0
2916,14125,14.74,36,Consolidate for Success,debt_consolidation,487.84,14125,11.24,675-679,0
2917,15850,11.11,60,vacation loan,vacation,345.49,15850,28.37,730-734,0
2918,8000,17.14,60,Debt Consolidation Loan,debt_consolidation,199.43,8000,13.89,680-684,0
2919,17000,10.25,36,Debt Consildation for Funeral Expenses and School,debt_consolidation,550.55,17000,13.14,740-744,0
2920,3000,6.91,36,Wedding Ring,other,92.51,3000,15.62,730-734,1
2921,14000,9.76,36,Trucking bussiness operational expenses ,small_business,450.17,14000,1.21,795-799,1
2922,16000,10,36,debt consolidation,debt_consolidation,516.28,16000,18.73,735-739,1
2923,28000,15.31,36,bill payoff,debt_consolidation,974.89,28000,16.98,700-704,1
2924,8000,12.17,36,Interest Rate,credit_card,266.37,8000,10.2,670-674,0
2925,20000,11.14,36,To pay off balloon payments due,debt_consolidation,656.07,20000,0.82,790-794,0
2926,5000,11.89,36,Garage,home_improvement,165.82,5000,2.23,745-749,1
2927,4000,13.61,36,Need a better rate,credit_card,135.96,4000,16.52,690-694,1
2928,5000,13.47,36,garzaloan,debt_consolidation,169.62,5000,12.48,690-694,1
2929,18000,12.99,36,House,debt_consolidation,606.41,18000,12.22,705-709,0
2930,18000,13.92,36,Pay off Credit Cards for Good!,debt_consolidation,614.47,18000,17.52,690-694,1
2931,7500,13.24,36,Pay down high interest cards,debt_consolidation,253.58,7500,16.76,665-669,0
2932,4750,14.61,36,Moving out + consolidating debt,debt_consolidation,163.76,4750,10.71,675-679,1
2933,10000,17.14,36,Consolidation,debt_consolidation,357.23,10000,10.48,665-669,0
2934,24250,15.31,36,Hard Worker,debt_consolidation,844.28,24250,5.99,680-684,0
2935,1800,6.62,36,CHASE PAYOFF ,debt_consolidation,55.27,1800,16.56,740-744,1
2936,6000,14.61,36,2nd Loan,debt_consolidation,206.86,6000,17.72,665-669,0
2937,34475,14.27,60,Taxes,other,807.01,34475,29.56,735-739,1
2938,25000,15.68,36,Debt Consolidation,debt_consolidation,875.04,25000,15.73,680-684,0
2939,7800,16.77,36,debt_consolidation,debt_consolidation,277.2,7800,8.09,685-689,1
2940,3500,12.18,36,Good income & credit,other,116.55,3500,13.53,690-694,1
2941,5000,15.7,36,Exotic Dancer Dying to Enhance Backside,medical,175.06,5000,3.17,675-679,0
2942,3500,13.11,36,DREAM COME TRUE,medical,118.12,3500,23.36,725-729,0
2943,16000,13.11,36,H's Moving Forward Plan,debt_consolidation,539.92,16000,20.96,705-709,1
2944,3500,13.24,36,Tim's Loan,debt_consolidation,118.34,3500,23.05,685-689,1
2945,10000,15.31,36,New Start,debt_consolidation,348.16,10000,18.6,665-669,0
2946,12000,11.86,36,Bill,debt_consolidation,397.77,12000,21.26,710-714,0
2947,7550,13.22,36,pay credit cards,debt_consolidation,255.2,7550,13.49,680-684,0
2948,18000,13.61,60,Credit Payoff,debt_consolidation,415.2,18000,12.06,715-719,1
2949,4000,13.43,36,Down Payment Loan,house,135.61,4000,18.91,670-674,0
2950,6000,16.45,36,Jump Start to a New Year,major_purchase,212.27,6000,15.13,680-684,1
2951,12000,11.89,36,Starting a new chapter in my life.,debt_consolidation,397.97,12000,15.26,710-714,1
2952,35000,19.69,60,BIG MONEY MERGER,debt_consolidation,654.1,24850,13.72,685-689,0
2953,2000,10.99,36,Truck Loan,car,65.47,2000,9.36,685-689,1
2954,1500,8.49,36,NZ Plane Ticket,other,47.35,1500,10.42,700-704,0
2955,31000,12.42,60,One Credit Card Payment,credit_card,696.18,31000,14.14,730-734,1
2956,12250,12.73,36,Business Partner Buy Out,small_business,411.19,12250,16.63,695-699,1
2957,9000,10.36,36,Out of debt loan,debt_consolidation,291.93,9000,14.73,690-694,0
2958,2600,6.92,36,Gettin' out of the hole,debt_consolidation,80.19,2600,14.52,735-739,1
2959,21600,13.49,36,Clearing cards,debt_consolidation,732.9,21600,9.66,705-709,0
2960,3200,11.11,36,vehicle repair,other,104.94,3200,10.58,675-679,1
2961,8000,8.9,36,Home_Improvement Loan,home_improvement,254.03,8000,6.41,725-729,1
2962,6000,11.86,60,consoliation loan,debt_consolidation,133.05,6000,3.9,740-744,0
2963,3000,7.49,36,Debt Consolidation Loan,debt_consolidation,93.31,3000,20.8,710-714,1
2964,6000,16.7,36,Debt Consolidation,debt_consolidation,213.01,6000,0.76,660-664,0
2965,3100,9.32,36,Home project,home_improvement,99.04,3100,23.89,725-729,1
2966,11725,20.89,60,Debt Consolidation,debt_consolidation,316.48,11725,4.7,680-684,0
2967,10750,15.2,36,College Repayment,debt_consolidation,373.71,10750,10.8,665-669,0
2968,9500,9.88,36,black chevy truck loan,car,306,9500,13.7,720-724,1
2969,1000,9.76,36,Green Loan,renewable_energy,32.16,1000,14.66,705-709,0
2970,9000,12.53,36,Bridge Loan for Household expenses,debt_consolidation,301.2,9000,9.76,720-724,0
2971,6800,8.9,36,Credit Card Refinance,credit_card,215.93,6800,17.65,700-704,1
2972,18250,17.49,60,my little helper,debt_consolidation,458.39,18250,14.26,690-694,0
2973,15000,11.78,36,Need a new Roof/Paydown debt,debt_consolidation,496.64,15000,22.43,715-719,1
2974,25000,13.67,36,Home Improvement-Attic and Workspace ,home_improvement,850.44,25000,14.21,710-714,0
2975,22000,14.46,36,Proven Borrower with stable income,house,756.84,22000,22.43,685-689,1
2976,6400,15.31,36,Why Do Weddings Have To Be So Expensive,wedding,222.84,6400,12.57,675-679,1
2977,25000,10.62,36,King Media,small_business,813.98,25000,16.96,735-739,0
2978,8000,16.77,36,Debt Consolidation Loan,debt_consolidation,284.31,8000,12.06,660-664,1
2979,14300,20.62,60,personal loan,other,383.82,14300,19.2,670-674,0
2980,12000,10.75,36,working hard,debt_consolidation,391.45,12000,17.57,740-744,0
2981,8400,13.98,60,FREEDOM!,educational,195.37,8400,15.02,695-699,0
2982,25000,18.25,60,Debt Free,debt_consolidation,638.25,25000,2.88,695-699,1
2983,12000,12.12,36,Personal,debt_consolidation,399.26,12000,14.93,690-694,1
2984,6250,16.29,36,Car Loan,car,220.63,6250,18,665-669,0
2985,11200,6.92,36,Credit card re-fi for on-time payer,credit_card,345.42,11200,24.9,755-759,1
2986,9000,16.29,36,Debt consolidation,debt_consolidation,317.71,9000,23.56,670-674,0
2987,8500,7.51,36,Consolidation,debt_consolidation,264.45,8500,16.26,755-759,1
2988,2000,10.25,36,Richard Loan,debt_consolidation,64.77,2000,17.04,705-709,0
2989,3250,9.63,36,Pay Credit Cards,debt_consolidation,104.31,3250,13.8,720-724,0
2990,6000,10.75,36,Wedding,major_purchase,195.73,6000,9.72,710-714,1
2991,1000,11.14,36,Invest in Clemson University (quick repayment),educational,32.81,1000,9.5,720-724,1
2992,5000,9.63,36,Business loan,small_business,160.48,5000,0.39,745-749,1
2993,9000,12.49,36,Consolidate Debt,debt_consolidation,301.04,9000,4.64,660-664,0
2994,2400,13.92,36,Unsecured loan,other,81.93,2400,21,730-734,0
2995,20000,10.37,36,Back On Track,debt_consolidation,648.83,20000,10.44,740-744,1
2996,12000,16,36,Home Building,small_business,421.89,12000,17.48,745-749,0
2997,3100,7.9,36,payoff,other,97,3100,10.14,715-719,1
2998,6000,16.07,36,Consolidation,debt_consolidation,211.17,6000,15.39,700-704,1
2999,9600,12.17,36,Credit Cards,debt_consolidation,319.64,9600,19.28,670-674,0
3000,13475,14.26,36,Debt Consolidation Loan,debt_consolidation,462.27,13475,22.11,685-689,0
3001,5000,7.74,36,Moving expenses,moving,156.1,5000,5.62,745-749,1
3002,1600,12.21,36,Loan to pay off small medial bills,debt_consolidation,53.31,1600,18.14,675-679,0
3003,1500,7.51,36,Home Improvement,home_improvement,46.67,1500,9.76,725-729,1
3004,20000,14.65,60,Debt Consolidation Loan,debt_consolidation,472.14,20000,22.21,725-729,0
3005,1000,10.36,36,"Freedom ""Part 2""",credit_card,32.44,1000,15.55,685-689,1
3006,6000,10.99,36,debt Consolidation,debt_consolidation,196.41,6000,11.98,705-709,0
3007,5000,13.99,36,Freedom,major_purchase,170.87,5000,3.88,695-699,0
3008,12000,13.48,36,Energy Star home improvements to take advantage tax credits,home_improvement,407.09,12000,8.42,685-689,0
3009,9600,13.49,36,A New Life,debt_consolidation,325.74,9600,24.81,670-674,0
3010,14400,9.88,36,Credit card payoff,debt_consolidation,463.84,14400,23.21,730-734,1
3011,15000,9.62,60,Pool repair/back landscape - Phase 1,home_improvement,315.91,15000,7.95,765-769,0
3012,5000,8.7,36,Reduce Credit Card Debt,credit_card,158.3,5000,15.55,755-759,1
3013,3000,12.69,36,Personal Loan,medical,100.64,3000,1.25,685-689,1
3014,20000,11.83,36,Refinancing Credit Card,credit_card,662.68,20000,24.27,735-739,0
3015,9600,15.65,60,Debt Consolidation,debt_consolidation,231.68,9600,19.38,685-689,0
3016,9500,9.63,36,Medical Loan,medical,304.9,9500,9.16,745-749,1
3017,15200,15.27,36,Other Loan,other,528.93,15200,22.19,690-694,0
3018,4800,16.95,36,Student Loan,educational,171.01,4800,9.36,660-664,0
3019,15000,7.9,36,Debt Consolidation,debt_consolidation,469.36,15000,14.07,730-734,0
3020,6500,7.88,60,I would love to pay off my credit card! ,credit_card,131.43,6500,5.83,790-794,1
3021,11500,11.49,36,Refinance,credit_card,379.17,11500,23.17,685-689,1
3022,16000,11.49,36,debtconsolidation,debt_consolidation,527.55,16000,22.61,715-719,1
3023,8000,11.49,36,Debt free in 3!,debt_consolidation,263.78,8000,20.77,700-704,1
3024,8875,10.37,36,Financial refresher,debt_consolidation,287.92,8875,20.25,695-699,1
3025,20000,9.99,60,Consolidation,debt_consolidation,302.17,14225,7.4,750-754,1
3026,14500,10.75,36,credit card payoff,credit_card,473,14500,15.96,710-714,1
3027,8500,7.51,36,Consolidation Loan,debt_consolidation,264.45,8500,17.16,725-729,1
3028,5000,16.45,36,My personal loan,major_purchase,176.9,5000,13.51,665-669,0
3029,10000,17.93,36,Debt consalidation,debt_consolidation,361.18,10000,16.24,665-669,0
3030,1200,14.11,36,Need help for rent and school supplies,debt_consolidation,41.08,1200,8.28,675-679,0
3031,12000,9.91,60,Debt loan,debt_consolidation,254.44,12000,10.43,780-784,1
3032,16000,16.32,36,Debt Consolidation,credit_card,565.02,16000,21.46,665-669,0
3033,12000,10.38,36,C.C. Loan,debt_consolidation,389.36,12000,19.17,720-724,1
3034,7000,15.38,36,Debt Consolidation,credit_card,243.97,7000,9.24,665-669,0
3035,10000,18.79,60,Home Improvement Loan,home_improvement,258.26,10000,19.06,720-724,1
3036,6000,14.74,36,Purchase of an ultrasonic welder,small_business,207.23,6000,14,675-679,0
3037,24000,17.56,60,debt consolidation,debt_consolidation,603.72,24000,17.45,680-684,0
3038,10000,12.41,36,Consolidate Debt,debt_consolidation,334.11,10000,10.35,680-684,1
3039,8600,11.36,36,Helping a working man avoid the way high interest rates r,debt_consolidation,283.04,8600,19.11,705-709,1
3040,8000,12.18,36,Paying off Credit Cards,debt_consolidation,266.4,8000,8.54,700-704,1
3041,4800,13.98,60,ankle surgery,medical,111.64,4800,11.26,705-709,0
3042,1500,13.06,36,jb,major_purchase,50.59,1500,20.82,670-674,1
3043,3000,10.75,36,katie's personal loan,debt_consolidation,97.87,3000,16.31,720-724,0
3044,8000,12.18,36,Wedding,wedding,266.4,8000,4.16,735-739,1
3045,10000,11.14,36,Prefect Wedding,wedding,328.04,10000,8.12,730-734,0
3046,1800,12.18,36,Moving out:),other,59.94,1800,6.33,715-719,0
3047,12000,11.89,36,Pay off credit cards,debt_consolidation,397.97,12000,1.92,740-744,1
3048,30000,11.14,36,Take Charge,debt_consolidation,984.16,30000,1.2,740-744,1
3049,9200,12.84,36,Tired of C.C. Companies getting rich,debt_consolidation,309.29,9200,20.69,705-709,0
3050,17475,17.27,60,personal loan,other,404.35,16175,24.84,695-699,0
3051,5000,16.77,36,Investment Loan,major_purchase,177.7,5000,12.31,680-684,1
3052,12000,13.47,36,Divorce Debt,debt_consolidation,407.08,12000,17.74,695-699,0
3053,25000,12.68,60,CONSOLIDATION LOAN,debt_consolidation,564.74,25000,8.92,740-744,0
3054,5400,7.88,60,Roof,home_improvement,109.19,5400,8.25,800-804,1
3055,4500,12.98,36,Medical Loan,medical,151.58,4500,3.34,680-684,0
3056,2500,11.14,36,Daughter's college,educational,82.02,2500,20.15,690-694,0
3057,5000,7.9,60,TR 6,car,101.15,5000,6.14,800-804,1
3058,6000,8.59,36,Safe Haven,credit_card,189.67,6000,10.14,740-744,1
3059,5000,11.99,36,Debt consolidation,debt_consolidation,166.05,5000,24.25,690-694,0
3060,8500,12.21,36,Investment on property.,other,283.18,8500,9.23,720-724,1
3061,20000,15.33,36,Money 2010,debt_consolidation,696.57,20000,23.46,715-719,1
3062,24000,19.36,60,Clean up,debt_consolidation,627.34,24000,13.95,665-669,0
3063,8500,12.21,36,Personal ,credit_card,283.18,8500,19.42,700-704,1
3064,12250,12.42,36,Debt Consolidation,other,409.34,12250,12.48,680-684,0
3065,15000,12.92,36,Debt Consolidation + Funeral Expenses,debt_consolidation,504.84,15000,6.08,675-679,0
3066,1500,10.36,36,Harvard Hot Dog,other,48.66,1500,18.16,675-679,0
3067,28000,7.49,36,Parents,other,870.85,28000,0.44,820-824,1
3068,25000,10.75,36,Business,small_business,815.52,25000,0.17,795-799,1
3069,7000,7.75,36,Personal Loan,debt_consolidation,218.55,7000,10.37,765-769,1
3070,27300,17.88,60,Debt Consolidation,debt_consolidation,691.46,27300,18.05,700-704,0
3071,16000,9.88,36,Personal loan,major_purchase,515.37,16000,0.5,780-784,0
3072,12000,9.32,36,Better Credit Rate,credit_card,383.37,12000,6.84,775-779,1
3073,6200,13.79,36,Personal Loan,debt_consolidation,211.27,6200,9,680-684,1
3074,14000,8.49,36,Debt Consolidation,debt_consolidation,441.89,14000,22.67,725-729,1
3075,3400,16.29,36,dental and other repairs,other,120.03,3400,15.37,705-709,0
3076,12000,6.54,36,AC Loan,debt_consolidation,209.31,6825,11.48,775-779,1
3077,7500,12.53,36,Car refinancing $7500,car,251,7500,11.28,695-699,1
3078,24150,14.61,36,3 year plan,debt_consolidation,832.58,24150,13.88,695-699,0
3079,13750,18.79,60,Business Start Up Loan,other,355.1,13750,12.38,670-674,0
3080,1300,9.07,36,nursing exam,other,41.39,1300,0.75,730-734,1
3081,7500,11.34,36,credit card consolidation,credit_card,180.95,5500,17.15,685-689,1
3082,4000,12.53,36,Personal Loan to assist my fiance';,other,133.87,4000,11.92,680-684,0
3083,24000,18.79,60,Credit Card Consolidation,credit_card,619.81,24000,20.13,685-689,0
3084,4200,16.02,36,For Help,other,147.71,4200,14.87,665-669,0
3085,7000,13.85,36,Solid credit and Income,other,238.73,7000,17.57,670-674,0
3086,25000,15.31,36,Property Management,small_business,870.39,25000,2.69,755-759,1
3087,6450,18.25,60,loan,other,164.67,6450,23.52,670-674,0
3088,4500,11.97,36,Home Project,home_improvement,149.4,4500,15.49,670-674,1
3089,5100,13.06,60,My Loan,debt_consolidation,116.2,5100,7.34,705-709,1
3090,13325,12.42,36,Home Improvement,other,445.26,13325,16.33,695-699,0
3091,12000,14.27,60,Medical Expenses,medical,280.91,12000,20.7,715-719,0
3092,19000,16.82,36,Pay off Debt,debt_consolidation,675.68,19000,18.41,665-669,1
3093,16000,16.77,60,Credit Card Loan,credit_card,395.67,16000,15.2,700-704,0
3094,6250,14.72,36,home improvements,debt_consolidation,215.81,6250,8.92,685-689,0
3095,13500,7.49,36,BOA loan,debt_consolidation,377.11,12125,19.32,740-744,1
3096,11350,10.37,60,pool,home_improvement,243.23,11350,8.56,735-739,1
3097,20000,14.65,36,wedding ,wedding,689.89,20000,3,705-709,0
3098,18900,10.14,36,Lower interest rate to reduce payments,other,611.1,18900,9.79,730-734,1
3099,4800,14.27,36,Debt Consolidation,debt_consolidation,164.69,4800,21.88,670-674,0
3100,10000,13.22,36,Debt consolidation and home refurnishing,home_improvement,338.01,10000,3.6,775-779,1
3101,21250,15.95,36,Debt Consolidation,debt_consolidation,746.57,21250,24.15,675-679,1
3102,4500,13.49,36,Lower Interest,credit_card,152.69,4500,3.5,680-684,1
3103,13000,11.11,60,Debt Freedom,debt_consolidation,283.37,13000,16.77,715-719,0
3104,1900,11.14,36,TIRES,debt_consolidation,62.33,1900,29.38,705-709,1
3105,4000,12.21,36,A Better Type Of Borrower,credit_card,133.26,4000,24.98,690-694,0
3106,15000,10.37,36,Debt Consolidation,debt_consolidation,486.62,15000,16.87,700-704,1
3107,12000,13.11,36,Relief,credit_card,404.97,12000,8.05,685-689,1
3108,6000,7.14,36,Home Improvement Loan,home_improvement,185.64,6000,7.17,770-774,1
3109,3500,11.83,36,High quality - fast ROI,other,115.97,3500,4.33,715-719,0
3110,10000,11.26,36,Consolidate 2 Cards and a Truck,debt_consolidation,328.64,10000,17.73,745-749,1
3111,20000,13.23,60,Debt Consolidation loan,debt_consolidation,457.42,20000,8.57,730-734,1
3112,2500,10.37,36,debt consolidation,debt_consolidation,81.11,2500,22.31,685-689,1
3113,3000,8.59,36,Equity Pay Down,other,94.84,3000,15.92,725-729,1
3114,5000,13.72,60,Xmas Club,renewable_energy,115.62,5000,18.05,685-689,1
3115,4200,10.99,36,DEBT RESTRUCTURE,other,137.49,4200,16.85,705-709,0
3116,7800,15.95,60,medical bills and loan consoliation,medical,189.48,7800,13.03,675-679,0
3117,12000,12.53,36,Freedom loan,credit_card,401.6,12000,23.14,700-704,1
3118,1000,10,36,Credit Card Consolidation,credit_card,32.27,1000,23.34,685-689,0
3119,8000,15.95,36,M&S Business Loan,small_business,281.06,8000,0.94,665-669,1
3120,7000,5.42,36,nicky,debt_consolidation,211.12,7000,6.67,805-809,0
3121,5000,16.45,36,Auri's School,debt_consolidation,176.9,5000,16.9,675-679,1
3122,4800,10.38,36,Home Improvement,home_improvement,155.75,4800,12.8,710-714,1
3123,8000,7.51,36,Bathroom remodeling project,home_improvement,248.89,8000,2.54,795-799,1
3124,16450,16.02,36,erase credit cards,debt_consolidation,578.5,16450,22.56,690-694,1
3125,22000,12.68,36,Merger,debt_consolidation,737.89,22000,7.31,740-744,1
3126,20000,7.88,36,marina's loan,debt_consolidation,625.63,20000,0.92,770-774,1
3127,13000,11.48,36,ghi,credit_card,428.59,13000,5.24,730-734,1
3128,1000,12.87,36,Consuldebt,debt_consolidation,33.64,1000,23.81,690-694,1
3129,20800,18.39,60,Consolidation,debt_consolidation,532.61,20800,15.16,685-689,0
3130,23000,12.18,36,BrightFuture,debt_consolidation,765.9,23000,14.96,735-739,1
3131,24000,7.51,36,Rental Property Refi,debt_consolidation,746.66,24000,3.46,775-779,1
3132,6000,8.59,36,Giving My Husband a Helping Hand,debt_consolidation,189.67,6000,24,730-734,1
3133,7000,12.68,36,courtney,other,234.79,7000,13.58,675-679,0
3134,5000,11.12,36,5K-20100822,debt_consolidation,163.98,5000,5.5,700-704,1
3135,20000,11.12,36,Choosing Home Improvement,home_improvement,655.92,20000,22.69,720-724,0
3136,23675,20.3,60,Debt Consolidation Loan,debt_consolidation,631.21,23675,19.27,715-719,1
3137,7000,10.62,36,roberts loan,other,227.92,7000,10.58,715-719,1
3138,15000,12.53,36,home improvements,home_improvement,502,15000,10.13,710-714,0
3139,15000,6.91,36,CC Payoff,credit_card,462.54,15000,11.19,725-729,1
3140,5000,12.18,36,Excellent Credit Loan,other,166.5,5000,10.95,695-699,1
3141,10000,10.65,36,debt consolidation,debt_consolidation,325.74,10000,14,705-709,1
3142,12000,11.86,36,I need a little help,debt_consolidation,397.75,12000,7.14,680-684,1
3143,25000,13.98,60,perchr07,debt_consolidation,581.45,25000,12.65,715-719,0
3144,18000,10.59,60,Debt Consolidation Loan,debt_consolidation,387.7,18000,13.96,760-764,0
3145,35000,13.99,60,home improvement,debt_consolidation,814.21,35000,13.65,755-759,0
3146,1500,11.36,36,karlasmedfund,medical,49.37,1500,24.74,680-684,0
3147,2500,17.56,60,personal,debt_consolidation,62.89,2500,11.11,660-664,0
3148,6500,11.14,36,Refinance credit card for education/home,credit_card,213.23,6500,3.43,715-719,1
3149,3625,12.12,36,Debt Consolidation,debt_consolidation,120.61,3625,14,700-704,0
3150,7000,9.91,36,Debt Consolidation,debt_consolidation,225.58,7000,9.14,690-694,1
3151,2500,11.71,36,applicance,other,82.69,2500,1.31,690-694,0
3152,1000,14.65,36,Myloan,major_purchase,34.5,1000,6,685-689,0
3153,6000,11.83,36,apartament,house,198.81,6000,5.38,705-709,1
3154,16000,9.63,36,Real Estate Investing in Texas,small_business,513.51,16000,2.5,800-804,1
3155,2400,7.88,36,MBA Expenses,educational,75.08,2400,15.47,715-719,1
3156,13200,12.12,36,condo,house,439.19,13200,10.28,710-714,1
3157,2000,6.17,36,Move to SJ Loan,moving,61,2000,18.35,745-749,1
3158,7500,11.97,36,DEBT CONSOLIDATION,debt_consolidation,249,7500,10.94,675-679,1
3159,3000,14.17,36,March madness!,debt_consolidation,102.79,3000,21.53,670-674,0
3160,9000,14.11,36,Summer credit clean up.,debt_consolidation,308.06,9000,8.21,670-674,0
3161,12600,6.03,36,help me move back home,moving,383.49,12600,6.38,805-809,0
3162,5000,13.22,36,Personal,debt_consolidation,169.01,5000,3.26,685-689,0
3163,4200,14.54,36,Debt Consolidation Loan,debt_consolidation,144.66,4200,4.45,670-674,1
3164,3600,12.87,36,Crystal's Consolidator,debt_consolidation,121.08,3600,1.58,690-694,1
3165,10000,12.53,36,Catching myself up,debt_consolidation,334.67,10000,20.46,700-704,0
3166,12000,13.06,36,My Loan 2011,debt_consolidation,404.68,12000,22.36,690-694,0
3167,5000,14.26,36,LB Personal loan,debt_consolidation,171.53,5000,19.53,670-674,0
3168,10000,11.66,36,Expanding Horse Boarding Operation,other,330.53,10000,8.56,680-684,1
3169,8000,12.21,36,credit rating confused...,debt_consolidation,266.52,8000,4.94,690-694,1
3170,2500,10.74,36,Ring Loan,debt_consolidation,81.54,2500,19.5,685-689,1
3171,5000,15.65,36,Rolling the high interest into 1 loan ,debt_consolidation,174.94,5000,18.39,675-679,0
3172,1000,10.99,36,Internet Marketer,small_business,32.74,1000,12.95,710-714,0
3173,25000,20.85,60,Business Loan,small_business,674.23,25000,17.36,675-679,1
3174,5000,7.74,36,Debt Consolidation,debt_consolidation,156.1,5000,9.27,745-749,1
3175,4000,12.73,36,Loan,debt_consolidation,134.27,4000,8.73,680-684,0
3176,9700,8.94,36,Wedding Reception Loan,major_purchase,308.19,9700,8.15,760-764,1
3177,3600,7.9,36,Improvement Loan,home_improvement,112.65,3600,24.2,725-729,0
3178,18500,10.99,36,Condo Renovation Loan,home_improvement,605.6,18500,24.8,720-724,1
3179,15000,10.74,36,loan 1,other,489.24,15000,14.37,695-699,1
3180,11000,10.99,36,Credit Card,debt_consolidation,360.08,11000,22.68,695-699,1
3181,4000,7.88,60,VTX1300R,major_purchase,80.88,4000,6.77,760-764,1
3182,6000,11.49,36,Lending_Club-1,other,197.83,6000,6.31,695-699,1
3183,4800,14.79,36,debt loan,debt_consolidation,165.91,4800,5.23,690-694,0
3184,12000,15.27,60,Debt Consolidation Loan,debt_consolidation,287.19,12000,12.47,700-704,0
3185,14500,21.27,60,Inventory,small_business,394.48,14500,13.2,675-679,0
3186,26375,18.79,60,Credit Consolidation,debt_consolidation,435.8,16875,15.63,705-709,0
3187,10000,17.93,60,No sharks!,small_business,253.56,10000,11.49,665-669,1
3188,2400,13.98,36,Consolidation,other,82.01,2400,7.93,690-694,0
3189,25000,15.25,36,Wow Cleaners,small_business,869.7,25000,15.56,720-724,1
3190,12000,11.49,36,debt consolidation,debt_consolidation,395.66,12000,6.22,705-709,0
3191,18000,17.27,36,Debt Relief,debt_consolidation,644.18,18000,13.64,675-679,1
3192,3450,11.99,36,personal loan,debt_consolidation,114.58,3450,16.94,695-699,0
3193,12000,16.89,60,Debt,debt_consolidation,297.53,12000,23,675-679,0
3194,16675,11.71,60,Harley loan,car,368.49,16675,8.68,735-739,1
3195,18000,13.48,36,For a business that is experiencing growth,small_business,610.64,18000,18.82,695-699,0
3196,14000,13.49,60,Home Improvement Loan,home_improvement,322.07,14000,28.13,730-734,1
3197,35000,17.27,60,debt cons,debt_consolidation,874.93,35000,8.4,720-724,0
3198,8000,9.76,36,Payoff CC and IRS,debt_consolidation,257.24,8000,2.12,730-734,1
3199,16000,13.48,36,Max,debt_consolidation,542.79,16000,11.1,700-704,0
3200,5000,5.42,36,Yamaha,car,150.8,5000,6.9,770-774,1
3201,9750,12.12,36,Pay of loan,debt_consolidation,324.4,9750,20.76,710-714,0
3202,18000,17.58,36,debt_consolidation,debt_consolidation,646.96,18000,17.67,660-664,1
3203,12300,13.47,36,Debt Consolidation Loan,debt_consolidation,417.25,12300,22.08,695-699,1
3204,7000,15.57,36,Personal loan,debt_consolidation,244.62,7000,2.72,670-674,0
3205,5000,13.57,36,My Loan,other,169.85,5000,14.75,685-689,1
3206,14000,12.69,36,Triumph Motorcycle Purchase,major_purchase,469.63,14000,13.98,685-689,1
3207,3500,11.89,36,Home project,home_improvement,116.08,3500,16.46,695-699,1
3208,1350,5.42,36,CC Debt,credit_card,40.72,1350,11.89,770-774,1
3209,3500,11.49,36,I'm Eliminating My Debt!,debt_consolidation,115.4,3500,16.57,700-704,1
3210,23000,17.93,60,My Debt improvement loan,debt_consolidation,370.19,14600,16.3,685-689,0
